AccX,AccY,AccZ
-0.001,-0.009,-9.847
0.047,-0.058,-9.84
0.014,-0.042,-9.887
0.025,-0.027,-9.909
0.022,-0.056,-9.847
0.041,-0.061,-9.858
0.036,-0.048,-9.847
0.029,-0.023,-9.859
0.019,-0.044,-9.892
0.015,-0.035,-9.919
0.019,-0.071,-9.878
0.03,-0.043,-9.889
0.016,-0.052,-9.887
-0.009,-0.014,-9.878
0.025,-0.04,-9.901
0.047,-0.092,-9.87
0.03,-0.059,-9.873
0.029,-0.017,-9.793
-0.005,-0.019,-9.85
0.026,-0.003,-9.838
-0.012,-0.021,-9.843
-0.004,0.017,-9.872
0.012,-0.017,-9.88
0.037,-0.048,-9.903
-0.001,-0.028,-9.906
0.035,-0.066,-9.831
0.039,-0.069,-9.822
0.019,-0.039,-9.886
0.024,-0.032,-9.814
0.018,-0.027,-9.844
-0.008,0.004,-9.807
0.033,-0.065,-9.864
0.012,-0.022,-9.907
0.008,-0.013,-9.898
0.008,-0.017,-9.928
0.008,-0.024,-9.893
0.005,-0.009,-9.88
0.028,-0.048,-9.893
0.034,-0.075,-9.827
0.039,-0.07,-9.88
0.008,-0.022,-9.837
0.009,-0.002,-9.845
0.032,-0.071,-9.856
0.029,-0.055,-9.865
0.014,-0.002,-9.886
-0.022,0.015,-9.863
0.003,-0.038,-9.846
0.028,-0.051,-9.831
0.02,-0.025,-9.821
0.039,-0.029,-9.858
0.029,-0.071,-9.854
0.017,-0.005,-9.862
0,-0.021,-9.868
0.032,-0.058,-9.894
0.025,-0.068,-9.872
0.021,-0.031,-9.889
-0.01,-0.017,-9.858
0.02,-0.035,-9.827
0.024,-0.033,-9.885
0.022,-0.039,-9.821
-0.009,-0.026,-9.858
0.018,-0.033,-9.846
0.054,-0.058,-9.864
0.002,-0.017,-9.847
-0.002,-0.023,-9.86
0.037,-0.054,-9.873
0.014,-0.006,-9.86
0.008,-0.027,-9.881
0.021,-0.045,-9.862
0.035,-0.029,-9.867
-0.002,-0.013,-9.879
0.013,-0.032,-9.838
-0.03,0.027,-9.84
0.003,0.018,-9.892
0.005,-0.032,-9.904
-0.005,0.01,-9.848
0.031,-0.055,-9.882
0.025,-0.04,-9.862
0.005,-0.026,-9.854
0.016,-0.015,-9.883
0.03,-0.042,-9.896
0.022,-0.003,-9.836
-0.005,-0.021,-9.9
0.001,-0.018,-9.811
0.026,-0.04,-9.862
0.028,-0.046,-9.839
0.012,-0.011,-9.859
0.013,-0.029,-9.829
-0.008,-0.027,-9.885
0.037,-0.043,-9.88
-0.012,0.009,-9.909
0.016,-0.022,-9.819
0.016,-0.007,-9.898
0.04,-0.038,-9.911
